,Train Acc,Val Acc,Gap,Val AUC
light,0.48444864153862,0.4474708139896393,0.03697782754898071,0.5106931924819946
medium,0.46654099225997925,0.5603112578392029,-0.09377026557922363,0.45802605152130127
heavy,0.5202639102935791,0.5603112578392029,-0.04004734754562378,0.5945796370506287
